id,root,affix,info,pos,tense,person,cases,singular,plural,question,negative,lexical_affixes,syntactical_affixes
103,bor/kuyla/chiq/cho'k,Ganingdan,,NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,NULL,NULL,NULL
104,bor/kuyla/chiq/cho'k,Ganingda,,NULL,NULL,NULL,Orin-payt,NULL,NULL,NULL,NULL,NULL,NULL
105,bor/kuyla/chiq/cho'k,Ganingga,,NULL,NULL,NULL,Qaratqich,NULL,NULL,NULL,NULL,NULL,NULL
106,bor/kuyla/chiq/cho'k,Ganding,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,bor/kuyla/chiq/cho'k,Gandingmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
111,kel/kuyla,(a)yotgan,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,kel/kuyla,(a)yotganmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
113,kel/kuyla,(a)yotganmidi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
114,kel/kuyla,(a)yotganlar,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
115,kel/kuyla,(a)yotganlardan,,NULL,NULL,NULL,Chiqish,NULL,1,NULL,NULL,NULL,NULL
116,kel/kuyla,(a)yotganlardanmi,,NULL,NULL,NULL,Chiqish,NULL,1,1,NULL,NULL,NULL
117,kel/kuyla,(a)yotganlardanmisiz,,NULL,NULL,NULL,Chiqish,NULL,1,1,NULL,NULL,NULL
121,kitob/oyna,gina,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,kitob,largina,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
123,kitob,larnigina,,NULL,NULL,NULL,Tushum,NULL,1,NULL,NULL,NULL,NULL
124,kitob,dek,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,rais,lardek,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
127,yugur/sakra,(a)rdilar,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
128,yugur/sakra,(a)rmidi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
130,yugur/sakra,(a)rmiding,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
131,yugur/sakra,(a)rmidingiz,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
132,yugur/sakra,dimi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
133,yugur/sakra,dimilar,,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL
134,yugur/sakra,ding,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,yugur/sakra,dingiz,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,yugur/sakra,dingizmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
137,yugur/sakra,dingmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
138,yugur/sakra,ma,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
139,yugur/sakra,mading,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
140,yugur/sakra,madingiz,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
141,yugur/sakra,madingizmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
142,yugur/sakra,madingmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
146,bor/kuyla/chiq/cho'k,Ganingiz,,NULL,NULL,NULL,Qaratqich,NULL,NULL,NULL,NULL,NULL,NULL
148,bor/kuyla/chiq/cho'k,Ganingizni,,NULL,NULL,NULL,Qaratqich,NULL,NULL,NULL,NULL,NULL,NULL
150,yugur/sakra/ek/chiq,Gancha,"G:{g,k,q}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,kun/oy/yil,gacha,"faqat vaqtni bildiruvchi suzlardan keyin, asr,qiyomat,yil [sanaladigan sonlardan keyn, keyingi yilgacha, 5-asrgacha]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,qil/et,Tir,"T:{t,d} Qoida: Tir odatda undosh harflardan keyin qushilyapti",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,qil/et,Tirildi,Tir nisbatidan keyin il nisbati qo'shilgan holda so'z tamom bo'lmaydi. Maqolada qayd qilish uchun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,qil/et,Tirilgan,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,fuqaro,lariga,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
157,fuqaro,laridan,,NULL,NULL,NULL,Chiqish,NULL,1,NULL,NULL,NULL,NULL
158,fuqaro,larida,,NULL,NULL,NULL,Orin-payt,NULL,1,NULL,NULL,NULL,NULL
159,fuqaro,larining,,NULL,NULL,NULL,Qaratqich,NULL,1,NULL,NULL,NULL,NULL
164,fuqaro,larimizning,,NULL,NULL,NULL,Qaratqich,NULL,1,1,NULL,NULL,NULL
165,siz/biz,dagi,,NULL,NULL,NULL,Orin-payt,NULL,NULL,NULL,NULL,NULL,NULL
167,u/bu/siz/biz,lardagi,,NULL,NULL,NULL,Orin-payt,NULL,1,NULL,NULL,NULL,NULL
169,kitob/baho,(s)iga,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,kitob/baho,(s)idan,,NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,NULL,NULL,NULL
171,kitob/baho,(s)ini,,NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
172,kitob/baho,(s)ining,,NULL,NULL,NULL,Qaratqich,NULL,NULL,NULL,NULL,NULL,NULL
173,kitob/baho,(s)ida,,NULL,NULL,NULL,Orin-payt,NULL,NULL,NULL,NULL,NULL,NULL
174,ol/qo'y,dik,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,ol/bor,dim,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,ol/bor,dilar,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
179,ol/bor,dikmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
181,ol/bor,sang,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,ayt/kuyla,sak,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,ayt/kuyla,sakgina,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,ayt/kuyla,sam,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,ayt/kuyla,sammi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
189,ayt/kuyla,sakmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
191,ayt/kuyla,sangmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
194,ayt/kuyla,moqchimi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
195,ayt/kuyla,moqchisiz,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,ayt/kuyla,moqchisan,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,ayt/kuyla,moqchimiz,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
212,ayt/kuyla,Y,"Y:{a,y} ayta, kuylay, (sakray boshladi, ayta boshladi) Qoida: undoshdan sung {a}, unlidan sung {y} keladi.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,ayt/kuyla,(i)b,"aytib, kuylab, (sakra{b}, yugur{ib}) Qoida: undoshdan sung {ib}, unlidan sung {b} keladi.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,ayt/kuyla,Gay,"Q:{g,q} aytgay, chiqqay. Qoida: q dan boshqa harf bulan tugasa {g}, q bn tugasas {q} bilan keladi.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216,ayt/kuyla,moqchimiding,"Q:{g,q} aytgay, chiqqay. Qoida: q dan boshqa harf bulan tugasa {g}, q bn tugasas {q} bilan keladi.",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
217,ayt/kuyla,moqchimidingiz,"Q:{g,q} aytgay, chiqqay. Qoida: q dan boshqa harf bulan tugasa {g}, q bn tugasas {q} bilan keladi.",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
220,u/siz/biz/kim/sen/men,(n)iki,"biz{niki}, sen{iki}. Qoida: agar n xarfi bilan tugasa {iki}, aks holda {niki} qo'shiladi.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
221,u/siz/biz/kim/sen/men,(n)ikimi,"biz{niki}, sen{iki}. Qoida: agar n xarfi bilan tugasa {iki}, aks holda {niki} qo'shiladi.",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
222,u/siz/biz/kim/sen/men,(n)ikidir,"biz{niki}, sen{iki}. Qoida: agar n xarfi bilan tugasa {iki}, aks holda {niki} qo'shiladi.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223,u/siz/biz/sen/men,(n)ikichalik,"(n)ikicha degan qushimcha bo'lmaydi, (n)iki{cha}+{lik} birga qo'shilib keladi.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
224,u/siz/biz/,larniki,Qoida: {lar} qushimchasidan keyin albatta {niki} shaklida qo'shiladi.,NULL,NULL,NULL,Tushum,NULL,1,NULL,NULL,NULL,NULL
225,u/siz/biz/,larnikichalik,Qoida: {lar} qushimchasidan keyin albatta {niki} shaklida qo'shiladi.,NULL,NULL,NULL,Tushum,NULL,1,NULL,NULL,NULL,NULL
227,yugur/bor/chiq,Ganlaridan,"Q:{g,q}",NULL,NULL,NULL,Chiqish,NULL,1,NULL,NULL,NULL,NULL
228,yugur/bor/chiq,Ganlarida,"Q:{g,q}",NULL,NULL,NULL,Orin-payt,NULL,1,NULL,NULL,NULL,NULL
229,yugur/yig'la/chiq,Ganlarini,"Q:{g,q}",NULL,NULL,NULL,Tushum,NULL,1,NULL,NULL,NULL,NULL
231,yugur/yig'la/chiq,Ganmidik,"Q:{g,q}",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
235,yugur/yig'la/chiq,Ganmizmi,"Q:{g,q}",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
236,yugur/yig'la/chiq,Ganmisiz,"Q:{g,q}",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
237,yugur/yig'la/chiq,Ganmisan,"Q:{g,q}",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
240,yugur/yig'la/chiq,Gansizmi,"Q:{g,q}",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
242,ayt/uxla,may,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
243,ayt/uxla,maylik,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
244,ayt/uxla,mas,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
245,ayt/uxla,maslikni,uxlamaslikni bahona qilib,NULL,NULL,NULL,Tushum,NULL,NULL,NULL,1,NULL,NULL
246,ayt/uxla,masdan,uxla{masdan},NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,1,NULL,NULL
247,ayt/uxla,masliklari,uxla{masliklari} oqibatida axvoli og'irlashdi,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL
248,ayt/uxla,maganligidan,uxla{maganligidan} xavotirda edi,NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,1,NULL,NULL
249,ayt/uxla,maganligi,uxla{maganligi} xavotirli edi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
250,ayt/uxla,magan,uxla{magan} ko'rinardi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
251,ayt/uxla,maganidan,uxla{maganidan} xavotirda edi,NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,1,NULL,NULL
253,qo'n/uxla,(a)yotgani,qo'n{ayotgani} tasvirlangan video,NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
254,qo'n/uxla,(a)yotganida,qo'n{ayotganida} tasvirga olingan video,NULL,NULL,NULL,Orin-payt,NULL,NULL,NULL,NULL,NULL,NULL
255,qo'n/uxla,(a)yotganini,qo'n{ayotganini} tasvirga oldi,NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
256,qo'n/uxla,(a)yotganligi,qo'n{ayotganligi} tasvirga olindi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,qo'n/uxla,(a)yotganligini,qo'n{ayotganligini} bilib qolishdi,NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
258,qo'n/uxla,(a)yotganligidan,qo'n{ayotganligidan} xavotirda edi,NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,NULL,NULL,NULL
260,bor/ayt,mayotgan,xech narsa sot{mayotgan} sotuvchi bor edi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
261,bor/ayt,mayotgani,xech narsa sot{mayotgani} uchun maoshsiz qoldi,NULL,NULL,NULL,Tushum,NULL,NULL,NULL,1,NULL,NULL
262,bor/ayt,mayotganligidan,ayt{mayotganligidan},NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,1,NULL,NULL
263,bor/ayt,mayotganligi,ayt{mayotganligi},NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
264,bor/ayt,mayotganligini,ayt{mayotganligini},NULL,NULL,NULL,Tushum,NULL,NULL,NULL,1,NULL,NULL
265,bor/ayt,mayotganini,ayt{mayotganini},NULL,NULL,NULL,Tushum,NULL,NULL,NULL,1,NULL,NULL
266,bor/ayt/chiq,Ganida,"Q:{g,q} bor{ganida}, chiq{qanida}",NULL,NULL,NULL,Orin-payt,NULL,NULL,NULL,NULL,NULL,NULL
267,bor/ayt/chiq,maganida,"bor{maganida}, chiq{maganida}",NULL,NULL,NULL,Orin-payt,NULL,NULL,NULL,1,NULL,NULL
268,bor/ayt/chiq,magani,"Q:{g,q} bor{magani}, chiq{magani}",NULL,NULL,NULL,Tushum,NULL,NULL,NULL,1,NULL,NULL
269,bor/ayt/chiq,Gani,"G:{g,k,q} bor{gani}, chiq{qani}",NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
271,bor/ayt/chiq,Ganini,"Q:{g,q} bor{ganini}, chiq{qanini}",NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
272,bor/ayt/chiq,Ganidan,"Q:{g,q} ayt{ganidan}, chiq{qanidan}",NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,NULL,NULL,NULL
274,bor/ayt/chiq,Ganingni,"Q:{g,q} ayt{ganingni}, chiq{qaningni}",NULL,NULL,NULL,Qaratqich,NULL,NULL,NULL,NULL,NULL,NULL
275,bor/ayt/chiq,Ganlari,"Q:{g,q} ayt{ganlari}, chiq{qanlari}",NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
276,bor/ayt/chiq,yapti,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,bor/ayt/chiq,salar,{lar} hurmatlash va ko'plik manosida keladi,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
280,bor/ayt/chiq,sangiz,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
283,bor/ayt/chiq,sangizgina,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
284,bor/ayt/chiq,sanggina,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,bor/ayt/chiq,samgina,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
287,o'yla/ayt/chiq,Ganimdek,"Q:{g,k,q}",NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
288,o'yla/ayt/chiq,Ganimni,"Q:{g,k,q}",NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
289,o'yla/ayt/chiq/cho'k,Ganlarim,"Q:{g,k,q}",NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
290,o'yla/ayt/chiq/cho'k,Ganim,"Q:{g,k,q}",NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
292,o'yla/ayt/chiq/cho'k,Ganimdan,"Q:{g,k,q}",NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,NULL,NULL,NULL
293,o'yla/ayt/chiq/cho'k,Ganimda,"Q:{g,k,q}",NULL,NULL,NULL,Orin-payt,NULL,NULL,NULL,NULL,NULL,NULL
294,o'yla/ayt/chiq/cho'k,Ganmidim,"Q:{g,k,q}",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
295,o'yla/ayt/chiq/cho'k,Ganmiding,"Q:{g,k,q}",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
296,o'yla/ayt/chiq/cho'k,Ganmidingi,"Q:{g,k,q}",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
297,o'yla/ayt/chiq/cho'k,Ganmidilar,"Q:{g,k,q}",NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL
299,o'yla/ayt/chiq/cho'k,di,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
304,o'yla/ayt/chiq/cho'k,dinglar,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
305,o'yla/ayt/chiq/cho'k,dimmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
311,o'yla/ayt/chiq/cho'k,dilarmi,,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL
314,o'quvchi,san,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
316,o'quvchi,misan,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
317,o'quvchi,misiz,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
318,o'quvchi,miz,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
319,o'quvchi,mizmi,"Qoida: {man},{miz} o'zlik qo'shimchalari kelganda savolning {mi} qushimchasi orqasiga tushadi [o'quvchimanmi, o'quvchimizmi]. Agar {san},{siz} o'zlik qushimchalari kelganda savolning {mi} qushimchasi oldinga tushadi [o'quvchimisan]",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
320,o'quvchi,man,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
322,o'quvchi,manmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL
324,o'quvchi,larmi,,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL
326,kitob,larimiznigina,kitoblarimiznigina saqlab qoldik,NULL,NULL,NULL,Tushum,NULL,1,1,NULL,NULL,NULL
327,kitob,larimizdan,kitoblarimizdan faqat shuni saqlab qoldik,NULL,NULL,NULL,Chiqish,NULL,1,1,NULL,NULL,NULL
329,kitob,laringizning,kitoblaringizning qiymati,NULL,NULL,NULL,Qaratqich,NULL,1,NULL,NULL,NULL,NULL
330,kitob,laringizdan,kitoblaringizdan shularni ajratib oldik,NULL,NULL,NULL,Chiqish,NULL,1,NULL,NULL,NULL,NULL
332,oila/kitob,(i)mizning,"oila{mizning}, kitob{imizning}",NULL,NULL,NULL,Qaratqich,NULL,NULL,1,NULL,NULL,NULL
333,oila/kitob,(i)mizni,"oila{mizni}, kitob{imizni}",NULL,NULL,NULL,Tushum,NULL,NULL,1,NULL,NULL,NULL
334,oila/kitob,(i)mizdan,"oila{mizdan}, kitob{imizdan}",NULL,NULL,NULL,Chiqish,NULL,NULL,1,NULL,NULL,NULL
335,oila/kitob,(i)mizda,"oila{mizda}, kitob{imizda}",NULL,NULL,NULL,Orin-payt,NULL,NULL,1,NULL,NULL,NULL
