id,root,affix,info,pos,tense,person,possession,cases,verb_voice1,verb_voice2,verb_voice3,verb_func,impulsion,copula,singular,plural,question,negative,lexical_affixes,syntactical_affixes
844,ko`r/tara,(i)lganimizni,"",VERB,Past,1,,Accusative,,,,Participle,,,,,,,(i)l gan,imiz ni
837,ko`r/tara,(i)lganing,"",VERB,Past,2,,,,,,Participle,,,,,,,(i)l gan,ing
838,ko`r/tara,(i)lganingda,"",VERB,Past,2,,Locative,,,,Participle,,,,,,,(i)l gan,ing da
839,ko`r/tara,(i)lganingdan,"",VERB,Past,2,,Ablative,,,,Participle,,,,,,,(i)l gan,ing dan
1409,ayt/so`ra,(i)lganini,"",VERB,Past,3,,Accusative,,,,Participle,,,,,,,(i)l gan,i ni
845,ko`r/tara,(i)lganligi,"",VERB,Past,,,,,,,,,,,,,,,
847,ko`r/tara,(i)lganligida,"",VERB,,,,,,,,,,,,,,,,
846,ko`r/tara,(i)lganligidan,"",VERB,Past,3,,Ablative,,,,Participle,,,,,,,(i)l gan lik,i dan
848,ko`r/tara,(i)lganligiga,"",VERB,Past,3,,Dative,,,,Participle,,,,,,,(i)l gan lik,i ga
849,ko`r/tara,(i)lganligim,"",VERB,Past,1,,,,,,Participle,,,,,,,(i)l gan lik,im
850,ko`r/tara,(i)lganligimda,"",VERB,,,,Locative,,,,,,,,,,,,
851,ko`r/tara,(i)lganligimdan,"",VERB,,,,,,,,,,,,,,,,
852,ko`r/tara,(i)lganligimga,"",VERB,,,,Dative,,,,,,,,,,,,
1582,bor/et,(i)lganman,"",VERB,,,,,,,,,,,,,,,,
866,ayt/so`ra,(i)lganmidi,"",VERB,,,,,,,,,Message,,,,,,,
870,ayt/so`ra,(i)lganmiding,"",VERB,,,,,,,,,,,,,,,,
871,ayt/so`ra,(i)lganmidingiz,"",VERB,,,,,,,,,,,,,1,,,
1517,ajra,(i)lish,"",VERB,,,,,,,,,,,,,,,,
872,ayt/so`ra,(i)lishi,"",VERB,,,,,,,,,,,,,,,,
874,ayt/so`ra,(i)lishida,"",VERB,,,,,,,,,,,,,,,,
875,ayt/so`ra,(i)lishidan,"",VERB,,,,,,,,,,,,,,,,
873,ayt/so`ra,(i)lishiga,"",VERB,,,,,,,,,,,,,,,,
877,ayt/so`ra,(i)lishini,"",VERB,,,,Accusative,,,,,,,,,,,,
876,ayt/so`ra,(i)lishining,"",VERB,,,,,,,,,,,,,,,,
878,ayt/so`ra,(i)lmadi,"",VERB,,,,,,,,,Message,,,,,1,,
900,ayt/so`ra/chaqir,(i)lmadik,"",VERB,,,,,,,,,,,,,,1,,
901,ayt/so`ra/chaqir,(i)lmadim,"",VERB,,,,,,,,,,,,,,1,,
879,ayt/so`ra,(i)lmagan,"",VERB,,,,,,,,,,,,,,1,,
904,ayt/so`ra/chaqir,(i)lmagandik,"",VERB,,,,,,,,,,,,,,1,,
902,ayt/so`ra/chaqir,(i)lmagandim,"",VERB,,,,,,,,,,,,,,1,,
880,ayt/so`ra,(i)lmagani,"",VERB,,,,,,,,,,,,,,1,,
903,ayt/so`ra/chaqir,(i)lmaganlar,"",VERB,,,,,,,,,,,,1,,1,,
881,ayt/so`ra,(i)lmaganligi,"",VERB,,,,,,,,,,,,,,1,,
885,ayt/so`ra,(i)lmas,"",VERB,,,,,,,,,,,,,,1,,
886,ayt/so`ra,(i)lmasdan,"",VERB,,,,,,,,,,,,,,1,,
1583,eshit,(i)lmasin,"",VERB,,,,,,,,,Imperative,,,,,1,,
887,ayt/so`ra,(i)lmasligi,"",VERB,,,,,,,,,,,,,,1,,
888,ayt/so`ra,(i)lmasligidan,"",VERB,,,,,,,,,,,,,,1,,
889,ayt/so`ra,(i)lmasligim,"",VERB,,,,,,,,,,,,,,1,,
890,ayt/so`ra/chaqir,(i)lmasligimdan,"",VERB,,,,,,,,,,,,,,1,,
893,ayt/so`ra/chaqir,(i)lmasligimiz,"",VERB,,,,,,,,,,,,,,1,,
895,ayt/so`ra/chaqir,(i)lmasligimizdan,"",VERB,,,,,,,,,,,,,,1,,
898,ayt/so`ra/chaqir,(i)lmasligimni,"",VERB,,,,Accusative,,,,,,,,,,1,,
891,ayt/so`ra/chaqir,(i)lmasliging,"",VERB,,,,,,,,,,,,,,1,,
892,ayt/so`ra/chaqir,(i)lmasligingdan,"",VERB,,,,,,,,,,,,,,1,,
897,ayt/so`ra/chaqir,(i)lmasliginggiz,"",VERB,,,,,,,,,,,,,,1,,
896,ayt/so`ra/chaqir,(i)lmasliginggizdan,"",VERB,,,,,,,,,,,,,,1,,
1477,kuzat/tara,(i)lmaslik,"",VERB,,,,,,,,,,,,,,1,,
884,ayt/so`ra,(i)lmay,"",VERB,,,,,,,,,,,,,,1,,
899,ayt/so`ra/chaqir,(i)lmaydi,"",VERB,,,,,,,,,Message,,,,,1,,
1478,kuzat/tara,(i)lmoqda,"",VERB,,,,,,,,,,,,,,,,
1480,kuzat/tara,(i)lmoqdaman,"",VERB,,,,,,,,,,,,,,,,
1483,kuzat/tara,(i)lmoqdami,"",VERB,,,,,,,,,,,,,,,,
1482,kuzat/tara,(i)lmoqdamiz,"",VERB,,,,,,,,,,,,,,,,
1479,kuzat/tara,(i)lmoqdasan,"",VERB,,,,,,,,,,,,,,,,
1481,kuzat/tara,(i)lmoqdasiz,"",VERB,,,,,,,,,,,,,,,,
1580,bor/et,(i)lyapti,"",VERB,,,,,,,,,,,,,,,,
1,kitob,(i)m,"",NOUN,,,1,,,,,,,,1,,,,,
369,ruchka/kitob,(i)mchalik,"ruchka{mchalik}/ kitob{imchalik} Qoida: {chalik} bu yerda yaxlit qushimcha",NOUN,,,1,,,,,,,,1,,,,,
350,oila/kitob,(i)mda,"oila{mda}/ kitob{imda}",NOUN,,,1,Locative,,,,,,,1,,,,,
1299,kitob/oila,(i)mdagi,"",NOUN,,,1,,,,,,,,1,,,,,
1301,kitob/oila,(i)mdagiday,"",NOUN,,,1,,,,,,,,1,,,,,
1300,kitob/oila,(i)mdagidek,"",NOUN,,,1,,,,,,,,1,,,,,
1570,uy/hovli,(i)mdagina,"",NOUN,,,1,,,,,,,,1,,,,,
351,oila/kitob,(i)mdan,"oila{mdan}/ kitob{imdan}",NOUN,,,1,Ablative,,,,,,,1,,,,,
352,oila/kitob,(i)mga,"oila{mga}/ kitob{imga}",NOUN,,,1,Dative,,,,,,,1,,,,,
2,kitob,(i)miz,"",NOUN,,,1,,,,,,,,,1,,,,
335,oila/kitob,(i)mizda,"oila{mizda}/ kitob{imizda}",NOUN,,,,,,,,,,,,,,,,
1290,kitob/oila,(i)mizdagi,"",NOUN,,,1,,,,,,,,,1,,,,
1291,kitob/oila,(i)mizdagiday,"",NOUN,,,1,,,,,,,,,1,,,,
334,oila/kitob,(i)mizdan,"oila{mizdan}/ kitob{imizdan}",NOUN,,,1,Ablative,,,,,,,,1,,,,
336,oila/kitob,(i)mizga,"oila{mizga}/ kitob{imizga}",NOUN,,,1,Dative,,,,,,,,1,,,,
33,kitob/dada,(i)mizmi,"",NOUN,,,1,,,,,,,,,1,1,,,
333,oila/kitob,(i)mizni,"oila{mizni}/ kitob{imizni}",NOUN,,,1,Accusative,,,,,,,,1,,,,
332,oila/kitob,(i)mizning,"oila{mizning}/ kitob{imizning}",NOUN,,,1,,,,,,,,,1,,,,
32,kitob/dada,(i)mmi,"",NOUN,,,1,,,,,,,,1,,1,,,
353,oila/kitob,(i)mni,"oila{mni}/ kitob{imni}",NOUN,,,1,Accusative,,,,,,,1,,,,,
365,ruchka/kitob,(i)mnigina,"ruchka{mnigina}/ kitob{imnigina}",NOUN,,,1,,,,,,,,1,,,,,
367,ruchka/kitob,(i)mnimi,"ruchka{mnimi}/ kitob{imnimi}",NOUN,,,1,,,,,,,,1,,1,,,
354,oila/kitob,(i)mning,"oila{mning}/ kitob{imning}",NOUN,,,1,Genitive,,,,,,,1,,,,,
675,qora/ko`k,(i)mtir,"Sifat ligaviy shakl yasovchisi | Sifat darajasi",ADJ,,,,,,,,,,,,,,,,
1566,aniqla/berk,(i)nadi,"",VERB,Future,,,,,,,Infinitive,Message,,,,,,,
537,qil/qala,(i)nayotgan,"himoya qil{inayotgan}",VERB,Present,,,,,,,Participle,,,,,,,,
539,qil/qala,(i)nayotganda,"himoya qil{inayotganda}",VERB,Present,,,Locative,,,,Participle,,,,,,,,
542,qil/qala,(i)nayotgandagina,"himoya qil{inayotgandagina}",VERB,Present,,,Locative,,,,Participle,,,,,,,,
540,qil/qala,(i)nayotgandan,"himoya qil{inayotgandan}",VERB,Present,,,Ablative,,,,Participle,,,,,,,,
541,qil/qala,(i)nayotgandek,"himoya qil{inayotgandek}",VERB,Present,,,,,,,Participle,,,,,,,,
538,qil/qala,(i)nayotganligi,"himoya qil{inayotganligi}",VERB,Present,,,,,,,Participle,,,,,,,,
388,uch/olti,(i)nchi,"Sonlar uchun: uch{inchi}/ olti{nchi} Qoida: undosh bilan tugasa {inchi} qushimchasi qushiladi/ unli bilan tugasa {nchi} qushimchasi qo`shiladi",NUM,,,,,,,,,,,,,,,,
1686,ikki/uch,(i)nchisi,"Son",NUM,,,3,,,,,,,,1,,,,,
1687,ikki/uch,(i)nchisida,"Son",NUM,,,3,Locative,,,,,,,1,,,,,
529,qil/qala,(i)ndi,"o`t qala{ndi}/ qil{indi}",VERB,Past,,,,,,,,Message,,,,,,,
803,tara/ko`r,(i)ndilar,"",VERB,,,,,,,,,,,,1,,,,
802,tara/ko`r,(i)ndim,"",VERB,,,,,,,,,,,,,,,,
531,qil/qala,(i)ndimi,"o`t qala{ndimi}",VERB,,,,,,,,,,,,,1,,,
760,tara/ko`r,(i)nding,"tara+nding/ ko`r+inding",VERB,,,,,,,,,,,,,,,,
762,tara/ko`r,(i)ndingiz,"",VERB,,,,,,,,,,,,,,,,
763,tara/ko`r,(i)ndingizmi,"",VERB,,,,,,,,,,,,,1,,,
761,tara/ko`r,(i)ndingmi,"",VERB,,,,,,,,,,,,,1,,,
3,opa/kitob,(i)ng,"OT lar uchun",NOUN,,,2,,,,,,,,1,,,,,
1704,ayt/kuyla,(i)ng,"FEL uchun istak-mayl",VERB,,,2,,,,,,1,,1,,,,,
530,qil/qala,(i)ngan,"o`t qala{ngan}",VERB,,,,,,,,,,,,,,,,
774,tara/ko`r,(i)ngandi,"",VERB,Past,,,,,,,,Message,,,,,,,
775,tara/ko`r,(i)ngandilar,"",VERB,,,,,,,,,,,,1,,,,
776,tara/ko`r,(i)ngandimi,"",VERB,,,,,,,,,,,,,1,,,
764,tara/ko`r,(i)ngani,"",VERB,,,,,,,,,,,,,,,,
1417,boshla/qil,(i)nganida,"",VERB,,,,,,,,,,,,,,,,
1418,boshla/qil,(i)nganidan,"",VERB,,,,,,,,,,,,,,,,
797,tara/ko`r,(i)nganim,"",VERB,,,,,,,,,,,,,,,,
798,tara/ko`r,(i)nganimda,"",VERB,,,,,,,,,,,,,,,,
799,tara/ko`r,(i)nganimdan,"",VERB,,,,,,,,,,,,,,,,
800,tara/ko`r,(i)nganimga,"",VERB,,,,,,,,,,,,,,,,
801,tara/ko`r,(i)nganimni,"",VERB,,,,Accusative,,,,,,,,,,,,
765,tara/ko`r,(i)nganing,"",VERB,,,,,,,,,,,,,,,,
820,ko`r/tara,(i)nganingda,"",VERB,,,,,,,,,,,,,,,,
766,tara/ko`r,(i)nganingdan,"",VERB,,,,,,,,,,,,,,,,
821,ko`r/tara,(i)nganingga,"",VERB,,,,,,,,,,,,,,,,
826,ko`r/tara,(i)nganingizmi,"",VERB,,,,,,,,,,,,,1,,,
825,ko`r/tara,(i)nganingmi,"",VERB,,,,,,,,,,,,,1,,,
767,tara/ko`r,(i)nganingni,"",VERB,,,,Accusative,,,,,,,,,,,,
1416,boshla/qil,(i)nganini,"",VERB,,,,Accusative,,,,,,,,,,,,
817,ko`r/tara,(i)nganlarni,"",VERB,,,,Accusative,,,,,,,,1,,,,
534,qil/qala,(i)nganligi,"o`t qala{ngan}",VERB,,,,,,,,,,,,,,,,
779,tara/ko`r,(i)nganligida,"",VERB,,,,,,,,,,,,,,,,
777,tara/ko`r,(i)nganligidan,"",VERB,,,,,,,,,,,,,,,,
780,tara/ko`r,(i)nganligim,"",VERB,,,,,,,,,,,,,,,,
788,tara/ko`r,(i)nganligimga,"",VERB,,,,,,,,,,,,,,,,
781,tara/ko`r,(i)nganliging,"",VERB,,,,,,,,,,,,,,,,
783,tara/ko`r,(i)nganligingdan,"",VERB,,,,,,,,,,,,,,,,
787,tara/ko`r,(i)nganligingga,"",VERB,,,,,,,,,,,,,,,,
782,tara/ko`r,(i)nganligingiz,"",VERB,,,,,,,,,,,,,,,,
784,tara/ko`r,(i)nganligingizdan,"",VERB,,,,,,,,,,,,,,,,
785,tara/ko`r,(i)nganligingizni,"",VERB,,,,Accusative,,,,,,,,,,,,
786,tara/ko`r,(i)nganligingni,"",VERB,,,,Accusative,,,,,,,,,,,,
778,tara/ko`r,(i)nganligini,"",VERB,,,,Accusative,,,,,,,,,,,,
789,tara/ko`r,(i)nganliklari,"",VERB,,,,,,,,,,,,1,,,,
790,tara/ko`r,(i)nganliklaridan,"",VERB,,,,,,,,,,,,1,,,,
794,tara/ko`r,(i)nganliklarimiz,"",VERB,,,,,,,,,,,,1,,,,
795,tara/ko`r,(i)nganliklarimizdan,"",VERB,,,,,,,,,,,,1,,,,
796,tara/ko`r,(i)nganliklarimizga,"",VERB,,,,,,,,,,,,1,,,,
791,tara/ko`r,(i)nganliklaring,"",VERB,,,,,,,,,,,,1,,,,
793,tara/ko`r,(i)nganliklaringdan,"",VERB,,,,,,,,,,,,1,,,,
792,tara/ko`r,(i)nganliklaringga,"",VERB,,,,,,,,,,,,1,,,,
532,qil/qala,(i)nganmi,"o`t qala{ngan}",VERB,,,,,,,,,,,,,1,,,
533,qil/qala,(i)nganmidi,"o`t qala{ngan}",VERB,,,,,,,,,Message,,,,1,,,
770,tara/ko`r,(i)nganmidilar,"",VERB,,,,,,,,,,,,1,1,,,
768,tara/ko`r,(i)nganmiding,"",VERB,,,,,,,,,,,,,1,,,
769,tara/ko`r,(i)nganmidingiz,"",VERB,,,,,,,,,,,,,1,,,
772,tara/ko`r,(i)nganmilar,"",VERB,,,,,,,,,,,,1,1,,,
773,tara/ko`r,(i)nganmisan,"",VERB,,,,,,,,,,,,,1,,,
771,tara/ko`r,(i)nganmisiz,"",VERB,,,,,,,,,,,,,1,,,
340,oila/kitob,(i)ngda,"oila{ngda}/ kitob{ingda}",NOUN,,,2,Locative,,,,,,,1,,,,,
1292,kitob/oila,(i)ngdagi,"",NOUN,,,2,,,,,,,,1,,,,,
1295,kitob/oila,(i)ngdagiday,"",NOUN,,,2,,,,,,,,1,,,,,
1294,kitob/oila,(i)ngdagidek,"",NOUN,,,2,,,,,,,,1,,,,,
